City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Husavik,IS,66.0449,-17.3389,25.95,78,100,15.52,overcast clouds
140,Leningradskiy,RU,69.3833,178.4167,-14.76,100,100,3.96,overcast clouds
141,Dalvik,IS,65.9702,-18.5286,27.05,86,100,11.63,light snow
142,Virginia Beach,US,36.8529,-75.978,55.06,48,28,3.0,scattered clouds
143,Belyy Yar,RU,53.6039,91.3903,37.85,100,100,2.24,mist
144,Gladstone,AU,-23.85,151.25,71.53,78,1,3.44,clear sky
145,Tuktoyaktuk,CA,69.4541,-133.0374,-12.12,94,100,8.14,overcast clouds
146,New Norfolk,AU,-42.7826,147.0587,57.92,79,95,3.0,light rain
147,Dali,CN,25.7,100.1833,54.77,92,86,2.24,overcast clouds
148,Mineros,BO,-17.1167,-63.2333,88.07,48,6,5.64,clear sky
149,Kharp,RU,66.8014,65.8081,24.55,95,100,8.57,light snow
150,Colesberg,ZA,-30.72,25.0972,67.06,28,0,15.86,clear sky
151,Tiksi,RU,71.6872,128.8694,-5.94,100,100,5.1,overcast clouds
152,Kieta,PG,-6.2167,155.6333,79.83,87,100,8.84,light rain
153,Madison Heights,US,42.4859,-83.1052,37.89,90,100,11.5,moderate rain
154,Nybro,SE,56.7446,15.9071,36.41,96,100,14.38,light rain
155,Port Hardy,CA,50.6996,-127.4199,39.38,87,100,19.57,shower rain
156,Jucuaran,SV,13.2539,-88.2478,87.06,41,86,2.75,overcast clouds
157,Ushtobe,KZ,45.2514,77.9838,61.11,33,99,8.48,overcast clouds
158,Kaeo,NZ,-35.1,173.7833,60.33,95,100,3.2,overcast clouds
159,Tongliao,CN,43.6125,122.2653,58.46,45,31,25.32,scattered clouds
160,Charters Towers,AU,-20.1,146.2667,73.33,89,48,5.12,scattered clouds
161,Isla Mujeres,MX,21.2311,-86.731,84.16,72,1,15.52,clear sky
162,Borovskoy,KZ,53.8,64.15,43.68,87,100,12.97,overcast clouds
163,Nambutalai,IN,9.7167,79.0,84.52,70,11,14.16,few clouds
164,Jamestown,US,42.097,-79.2353,42.03,54,100,4.0,overcast clouds
165,Aswan,EG,24.0934,32.907,97.39,8,76,10.74,broken clouds
166,Mosquera,CO,4.7059,-74.2302,64.49,63,40,6.91,scattered clouds
167,Jardim,BR,-21.4803,-56.1381,91.51,46,3,4.47,clear sky
168,Fort Nelson,CA,58.8053,-122.7002,27.99,74,75,5.75,broken clouds
169,Ponta Do Sol,PT,32.6667,-17.1,63.23,54,35,12.15,scattered clouds
170,Dhanwar,IN,24.4167,85.9833,87.58,7,0,3.98,clear sky
171,Port Lincoln,AU,-34.7333,135.8667,62.13,85,5,11.74,clear sky
172,Kahului,US,20.8947,-156.47,73.85,80,100,11.99,overcast clouds
173,Iquitos,PE,-3.7481,-73.2472,89.71,49,57,2.51,broken clouds
174,Sola,VU,-13.8833,167.55,82.08,75,94,12.53,overcast clouds
175,Mumford,GH,5.2618,-0.759,85.19,72,49,14.97,scattered clouds
176,Muisne,EC,0.6,-80.0333,81.03,74,86,7.61,overcast clouds
177,Boyolangu,ID,-8.1181,111.8935,75.58,88,14,0.83,few clouds
178,Rodnykove,UA,45.043,33.9541,38.12,66,49,8.84,scattered clouds
179,Abu Kamal,SY,34.4506,40.9171,78.31,18,71,12.48,broken clouds
180,Manadhoo,MV,5.7667,73.3833,84.31,65,72,1.07,broken clouds
181,Kloulklubed,PW,7.0419,134.2556,82.53,73,100,7.05,overcast clouds
182,Puerto Colombia,CO,10.9878,-74.9547,83.08,72,100,11.86,overcast clouds
183,Monte Alegre,BR,-2.0078,-54.0692,76.39,94,98,2.86,overcast clouds
184,Olinda,BR,-8.0089,-34.8553,85.73,62,40,11.5,scattered clouds
185,Talnakh,RU,69.4865,88.3972,-0.53,91,18,7.7,few clouds
186,Haines Junction,CA,60.7522,-137.5108,17.55,94,100,1.54,overcast clouds
187,Santa Cruz Del Sur,CU,20.7147,-77.9956,86.22,56,1,10.8,clear sky
188,Sakakah,SA,29.9697,40.2064,83.61,10,26,10.71,scattered clouds
189,Georgetown,MY,5.4112,100.3354,78.73,89,40,6.91,light rain
190,College,US,64.8569,-147.8028,6.8,74,100,3.85,overcast clouds
191,Ostrovnoy,RU,68.0531,39.5131,18.61,89,92,9.78,overcast clouds
192,Vryburg,ZA,-26.9566,24.7284,71.51,36,0,12.59,clear sky
193,Chapais,CA,49.7834,-74.8492,28.6,74,34,6.17,scattered clouds
194,Pangoa,PE,-12.1167,-73.0,74.77,93,71,2.75,broken clouds
195,Gat,IL,31.61,34.7642,74.08,3,4,9.24,clear sky
196,Sao Felix Do Xingu,BR,-6.6447,-51.995,85.17,62,85,4.43,overcast clouds
197,Riyadh,SA,24.6877,46.7219,89.26,8,18,10.76,few clouds
198,Zaozerne,UA,45.1582,33.2787,40.62,61,44,9.89,scattered clouds
199,Beringovskiy,RU,63.05,179.3167,-10.48,97,99,10.4,overcast clouds
200,Flin Flon,CA,54.7682,-101.865,31.84,93,100,10.36,mist
201,Richards Bay,ZA,-28.783,32.0377,77.4,62,100,4.94,overcast clouds
202,Anqing,CN,30.5092,117.0506,61.61,53,100,0.76,overcast clouds
203,Omboue,GA,-1.5746,9.2618,80.24,81,100,4.9,overcast clouds
204,Puerto Escondido,MX,15.85,-97.0667,84.69,53,0,7.02,clear sky
205,Ljungby,SE,56.8332,13.9408,40.15,97,100,16.02,overcast clouds
206,Sharjah,AE,25.3573,55.4033,78.13,67,42,5.5,scattered clouds
207,Cap Malheureux,MU,-19.9842,57.6142,80.47,81,100,8.01,overcast clouds
208,Khatanga,RU,71.9667,102.5,-27.11,100,29,3.13,scattered clouds
209,Rach Gia,VN,10.0167,105.0833,80.69,71,100,11.68,overcast clouds
210,Sakete,BJ,6.7362,2.6587,91.18,50,91,14.23,overcast clouds
211,Okato,NZ,-39.2,173.8833,60.91,90,89,8.46,overcast clouds
212,Jimeta,NG,9.2833,12.4667,104.74,15,82,3.02,broken clouds
213,Verkhoyansk,RU,67.5447,133.385,-15.47,100,77,1.43,broken clouds
214,Matagami,CA,49.7502,-77.6328,30.31,47,0,8.05,clear sky
215,Shu,KZ,43.5983,73.7614,59.67,49,67,3.94,broken clouds
